EXPERIMENT ID	PUBMED ID	SPECIES	EXPERIMENT DESCRIPTION	SAMPLE	SAMPLE SOURCE	SAMPLE NAME	IDENTIFICATIONS	METHODS	YEAR	ISOLATION METHOD	VESICLE TYPE
1158	20662102	Mus musculus	Proteomic analysis identifies highly antigenic proteins in exosomes from M. tuberculosis-infected and culture filtrate protein-treated macrophages.	Macrophages	cl	J774 (uninfected)	Protein	Western blotting	2010	Differential centrifugation|Filtration|Ultracentrifugation|Density gradient centrifugation	Exosomes
1159	20409149	Homo sapiens	Transdifferentiated circulating monocytes release exosomes containing 14-3-3 proteins with matrix metalloproteinase-1 stimulating effect for dermal fibroblasts.	Keratinocytes	cl	KLC's	Protein	Western blotting	2010	Differential centrifugation|Filtration|Ultrafiltration|Ultracentrifugation|Sucrose density gradient	Exosomes
1160	22641613	Homo sapiens	Application of systems biology principles to protein biomarker discovery: urinary exosomal proteome in renal transplantation.	Urine 	ts	Renal allograft recipient with tubular injury	Protein	Mass spectrometry	2012	Differential centrifugation|Ultracentrifugation	Exosomes
1161	22641613	Homo sapiens	Application of systems biology principles to protein biomarker discovery: urinary exosomal proteome in renal transplantation.	Urine 	ts	Renal allograft recipient with cell-mediated rejection	Protein	Mass spectrometry	2012	Differential centrifugation|Ultracentrifugation	Exosomes
1162	22641613	Homo sapiens	Application of systems biology principles to protein biomarker discovery: urinary exosomal proteome in renal transplantation.	Urine 	ts	Renal allograft recipient with acute inflamatory response	Protein	Mass spectrometry	2012	Differential centrifugation|Ultracentrifugation	Exosomes
1163	29904572	Bos taurus	A subset of extracellular vesicles carries the bulk of microRNAs in commercial dairy cow's milk.	Bovine milk	ts	Pellet, 12000 g	Protein|miRNA	Mass spectrometry|Western blotting	2017	Differential centrifugation|Density gradient centrifugation	Extracellular vesicles
1164	29904572	Bos taurus	A subset of extracellular vesicles carries the bulk of microRNAs in commercial dairy cow's milk.	Bovine milk	ts	Pellet, 35000 g	Protein|miRNA	Mass spectrometry|Western blotting	2017	Differential centrifugation|Density gradient centrifugation	Extracellular vesicles
1165	29904572	Bos taurus	A subset of extracellular vesicles carries the bulk of microRNAs in commercial dairy cow's milk.	Bovine milk	ts	Pellet, 70000 g	Protein|miRNA	Mass spectrometry|Western blotting	2017	Differential centrifugation|Density gradient centrifugation	Extracellular vesicles
1166	29904572	Bos taurus	A subset of extracellular vesicles carries the bulk of microRNAs in commercial dairy cow's milk.	Bovine milk	ts	Pellet, 100000 g	Protein|miRNA	Mass spectrometry|Western blotting	2017	Differential centrifugation|Density gradient centrifugation	Extracellular vesicles
1167	29907695	Mus musculus	Cancer cells copy migratory behavior and exchange signaling networks via extracellular vesicles.	Melanoma cells	cl	B16F1 (16.5 K)	Protein|miRNA	Mass spectrometry|RNA sequencing	2018	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1168	29907695	Mus musculus	Cancer cells copy migratory behavior and exchange signaling networks via extracellular vesicles.	Melanoma cells	cl	 B16F10 (16.5 K)	Protein|miRNA	Mass spectrometry|RNA sequencing	2018	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1169	29907695	Mus musculus	Cancer cells copy migratory behavior and exchange signaling networks via extracellular vesicles.	Melanoma cells	cl	B16F1 (100 K)	Protein|miRNA	Mass spectrometry|RNA sequencing	2018	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1170	29907695	Mus musculus	Cancer cells copy migratory behavior and exchange signaling networks via extracellular vesicles.	Melanoma cells	cl	 B16F10 (100 K)	Protein|miRNA	Mass spectrometry|RNA sequencing	2018	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1171	29881354	Rattus norvegicus	Effects of Acute Aerobic Exercise on Rats Serum Extracellular Vesicles Diameter, Concentration and Small RNAs Content.	Serum	ts	Non-exercised rats	Protein|miRNA	RNA sequencing	2018	ExoQuick	Extracellular vesicles
1172	29881354	Rattus norvegicus	Effects of Acute Aerobic Exercise on Rats Serum Extracellular Vesicles Diameter, Concentration and Small RNAs Content.	Serum	ts	Low-exercised rats	Protein|miRNA	RNA sequencing	2018	ExoQuick	Extracellular vesicles
1173	29881354	Rattus norvegicus	Effects of Acute Aerobic Exercise on Rats Serum Extracellular Vesicles Diameter, Concentration and Small RNAs Content.	Serum	ts	Moderate-exercised rats	Protein|miRNA	RNA sequencing	2018	ExoQuick	Extracellular vesicles
1174	29881354	Rattus norvegicus	Effects of Acute Aerobic Exercise on Rats Serum Extracellular Vesicles Diameter, Concentration and Small RNAs Content.	Serum	ts	High-exercised rats	Protein|miRNA	RNA sequencing	2018	ExoQuick	Extracellular vesicles
1175	29854963	Homo sapiens	Genome-wide Profiling of Urinary Extracellular Vesicle microRNAs Associated With Diabetic Nephropathy in Type 1 Diabetes.	Urine	ts	Normal patient	miRNA	RNA sequencing|qPCR	2017	qEV size-exclusion column	Extracellular vesicles
1176	29854963	Homo sapiens	Genome-wide Profiling of Urinary Extracellular Vesicle microRNAs Associated With Diabetic Nephropathy in Type 1 Diabetes.	Urine	ts	Overt patient	miRNA	RNA sequencing|qPCR	2017	qEV size-exclusion column	Extracellular vesicles
1177	29854963	Homo sapiens	Genome-wide Profiling of Urinary Extracellular Vesicle microRNAs Associated With Diabetic Nephropathy in Type 1 Diabetes.	Urine	ts	Persistent patient	miRNA	RNA sequencing|qPCR	2017	qEV size-exclusion column	Extracellular vesicles
1178	29854963	Homo sapiens	Genome-wide Profiling of Urinary Extracellular Vesicle microRNAs Associated With Diabetic Nephropathy in Type 1 Diabetes.	Urine	ts	Intermittent patient	miRNA	RNA sequencing|qPCR	2017	qEV size-exclusion column	Extracellular vesicles
1179	29854963	Homo sapiens	Genome-wide Profiling of Urinary Extracellular Vesicle microRNAs Associated With Diabetic Nephropathy in Type 1 Diabetes.	Urine	ts	Persistent MA patient	miRNA	RNA sequencing|qPCR	2017	qEV size-exclusion column	Extracellular vesicles
1180	29854963	Homo sapiens	Genome-wide Profiling of Urinary Extracellular Vesicle microRNAs Associated With Diabetic Nephropathy in Type 1 Diabetes.	Urine	ts	Intermittent MA patient	miRNA	RNA sequencing|qPCR	2017	qEV size-exclusion column	Extracellular vesicles
1181	28684402	Homo sapiens	BRAFV600 inhibition alters the microRNA cargo in the vesicular secretome of malignant melanoma cells	Melanoma cells	cl	MML-1 cells	miRNA	Next generation sequencing|qPCR	2017	Differential centrifugation|Filtration|Ultracentrifugation	Extracellular vesicles
1182	28684402	Homo sapiens	BRAFV600 inhibition alters the microRNA cargo in the vesicular secretome of malignant melanoma cells	Melanoma cells	cl	MML-1 cells treated with Vemurafenib	miRNA	Next generation sequencing|qPCR	2017	Differential centrifugation|Filtration|Ultracentrifugation	Extracellular vesicles
1183	28684402	Homo sapiens	BRAFV600 inhibition alters the microRNA cargo in the vesicular secretome of malignant melanoma cells	Melanoma cells	cl	A375 treated with Vemurafenib	miRNA	Next generation sequencing|qPCR	2017	Differential centrifugation|Filtration|Ultracentrifugation	Extracellular vesicles
1184	28684402	Homo sapiens	BRAFV600 inhibition alters the microRNA cargo in the vesicular secretome of malignant melanoma cells	Melanoma cells	cl	MML-1 cells treated with dabrafenib	miRNA	Next generation sequencing|qPCR	2017	Differential centrifugation|Filtration|Ultracentrifugation	Extracellular vesicles
1185	28042326	Homo sapiens	Exosomes derived from miR-140-5p-overexpressing human synovial mesenchymal stem cells enhance cartilage tissue regeneration and prevent osteoarthritis of the knee in a rat model.	Synovial mesenchymal stem cells	ts	SMSCs	miRNA	qPCR|Western blotting	2017	Differential centrifugation|Filtration|Sucrose density gradient	Exosomes
1186	28326167	Homo sapiens	Residual urinary extracellular vesicles in ultracentrifugation supernatants after hydrostatic filtration dialysis enrichment.	Urine	ts	Pelelt, HFDa P40	Protein	Mass spectrometry|Western blotting	2016	Hydrostatic filtration dialysis|Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1187	28326167	Homo sapiens	Residual urinary extracellular vesicles in ultracentrifugation supernatants after hydrostatic filtration dialysis enrichment.	Urine	ts	Pelelt, HFDa P200	Protein	Mass spectrometry|Western blotting	2016	Hydrostatic filtration dialysis|Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1188	28326167	Homo sapiens	Residual urinary extracellular vesicles in ultracentrifugation supernatants after hydrostatic filtration dialysis enrichment.	Urine	ts	Pelelt, HFDa SN200	Protein	Mass spectrometry|Western blotting	2016	Hydrostatic filtration dialysis|Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1189	28326167	Homo sapiens	Residual urinary extracellular vesicles in ultracentrifugation supernatants after hydrostatic filtration dialysis enrichment.	Urine	ts	Pelelt, HFDa 	Protein	Mass spectrometry|Western blotting	2016	Hydrostatic filtration dialysis|Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1190	28881726	Homo sapiens	Modulation of paracrine signaling by CD9 positive small extracellular vesicles mediates cellular growth of androgen deprived prostate cancer.	Prostate cancer cells	cl	LNCaP	Protein	Mass spectrometry|Western blotting	2016	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1191	28881726	Homo sapiens	Modulation of paracrine signaling by CD9 positive small extracellular vesicles mediates cellular growth of androgen deprived prostate cancer.	Prostate cancer cells	cl	LNCaP, DHT treatment	Protein	Mass spectrometry|Western blotting	2016	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1192	28881726	Homo sapiens	Modulation of paracrine signaling by CD9 positive small extracellular vesicles mediates cellular growth of androgen deprived prostate cancer.	Prostate cancer cells	cl	LNCaP, EtOH	Protein	Mass spectrometry|Western blotting	2016	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1193	28881726	Homo sapiens	Modulation of paracrine signaling by CD9 positive small extracellular vesicles mediates cellular growth of androgen deprived prostate cancer.	Prostate cancer cells	cl	DUCaP 	Protein	Mass spectrometry|Western blotting	2016	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1194	28881726	Homo sapiens	Modulation of paracrine signaling by CD9 positive small extracellular vesicles mediates cellular growth of androgen deprived prostate cancer.	Prostate cancer cells	cl	DUCaP, DHT treatment	Protein	Mass spectrometry|Western blotting	2016	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1195	28881726	Homo sapiens	Modulation of paracrine signaling by CD9 positive small extracellular vesicles mediates cellular growth of androgen deprived prostate cancer.	Prostate cancer cells	cl	DUCaP, EtOH	Protein	Mass spectrometry|Western blotting	2016	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1196	27883272	Homo sapiens	Circulating adipocyte-derived exosomal MicroRNAs associated with decreased insulin resistance after gastric bypass.	Plasma	ts	Two weeks before bariatric surgery	miRNA|Metabolites	Microarray	2017	ExoQuick	Exosomes
1197	27883272	Homo sapiens	Circulating adipocyte-derived exosomal MicroRNAs associated with decreased insulin resistance after gastric bypass.	Plasma	ts	One year after bariatric surgery	miRNA|Metabolites	Microarray	2017	ExoQuick	Exosomes
1198	27883272	Homo sapiens	Circulating adipocyte-derived exosomal MicroRNAs associated with decreased insulin resistance after gastric bypass.	Serum	ts	Two weeks before bariatric surgery	miRNA|Metabolites	Mass spectrometry	2017	ExoQuick	Exosomes
1199	27883272	Homo sapiens	Circulating adipocyte-derived exosomal MicroRNAs associated with decreased insulin resistance after gastric bypass.	Serum	ts	One year after bariatric surgery	miRNA|Metabolites	Mass spectrometry	2017	ExoQuick	Exosomes
1200	27780738	Homo sapiens	Next-generation sequencing-based small RNA profiling of cerebrospinal fluid exosomes.	Cerebrospinal fluid	ts	Healthy donor 1	miRNA	Next generation sequencing	2017	Differential centrifugation|Ultracentrifugation	Exosomes
1201	27780738	Homo sapiens	Next-generation sequencing-based small RNA profiling of cerebrospinal fluid exosomes.	Cerebrospinal fluid	ts	Healthy donor 2	miRNA	Next generation sequencing	2017	Differential centrifugation|Ultracentrifugation	Exosomes
1202	27780738	Homo sapiens	Next-generation sequencing-based small RNA profiling of cerebrospinal fluid exosomes.	Cerebrospinal fluid	ts	Cerebrospinal fluid	miRNA	Next generation sequencing	2017	Differential centrifugation|Ultracentrifugation	Exosomes
1203	27780738	Homo sapiens	Next-generation sequencing-based small RNA profiling of cerebrospinal fluid exosomes.	Serum	ts	Healthy donor 1	miRNA	Next generation sequencing	2017	Differential centrifugation|Ultracentrifugation	Exosomes
1204	27780738	Homo sapiens	Next-generation sequencing-based small RNA profiling of cerebrospinal fluid exosomes.	Serum	ts	Healthy donor 2	miRNA	Next generation sequencing	2017	Differential centrifugation|Ultracentrifugation	Exosomes
1205	27780738	Homo sapiens	Next-generation sequencing-based small RNA profiling of cerebrospinal fluid exosomes.	Serum	ts	Serum	miRNA	Next generation sequencing	2017	Differential centrifugation|Ultracentrifugation	Exosomes
1206	29127410	Homo sapiens	Ultrafiltration combined with size exclusion chromatography efficiently isolates extracellular vesicles from cell culture media for compositional and functional studies.	Bronchial epithelial cells	cl	BEAS-2B untreated	Protein	Western blotting	2017	Ultrafiltration|Size exclusion chromatography	Extracellular vesicles
1207	29127410	Homo sapiens	Ultrafiltration combined with size exclusion chromatography efficiently isolates extracellular vesicles from cell culture media for compositional and functional studies.	Bronchial epithelial cells	cl	Ultrafiltration and size exclusion chromatography sample 1	Protein	Mass spectrometry	2017	Ultrafiltration|Size exclusion chromatography	Extracellular vesicles
1208	29127410	Homo sapiens	Ultrafiltration combined with size exclusion chromatography efficiently isolates extracellular vesicles from cell culture media for compositional and functional studies.	Bronchial epithelial cells	cl	Ultrafiltration and size exclusion chromatography sample 2	Protein	Mass spectrometry	2017	Ultrafiltration|Size exclusion chromatography	Extracellular vesicles
